codigo_fornecedor,classificacao,conta_codigo_reduzido,conta_descricao
0670,4.01.01.01.0003,40101010003,13º SALÁRIO
0670,4.02.03.09.0001,40203090001,13º SALÁRIOS
2017,4.01.01.01.0001,40101010001,ORDENADOS E SALÁRIOS REF. EMPREGADOS
2017,4.02.03.07.0003,40203070003,FÉRIAS
2017,4.02.03.07.0001,40203070001,13º SALÁRIOS
2017,4.01.01.01.0027,40101010027,CESTA DE NATAL PARA EMPREGADO(S)
1806,4.02.03.01.0040,40203010040,MANUTENÇÃO DO REVESTIMENTO DO SALÃO DE FESTAS
1184,4.01.02.02.0004,40102020004,MATERIAIS DE LIMPEZA E HIGIENE
0617,4.01.02.03.0004,40102030004,HONORÁRIOS DE SÍNDICO
3084,4.01.01.01.0011,40101010011,SERVIÇO DE LIMPEZA - DIARISTA
2114,4.01.01.01.0023,40101010023,SUBSTITUIÇÃO DE EMPREGADOS EM FÉRIAS
1456,4.01.02.02.0004,40102020004,MATERIAIS DE LIMPEZA E HIGIENE
1456,4.02.01.02.0007,40201020007,AQUISIÇÃO DE PLACAS OU ADESIVOS DE SINALIZAÇÃO/INFORMATIVAS
1901,4.02.03.06.0023,40203060023,MATERIAIS PARA PINTURA EXTERNA DOS BLOCOS
1901,4.02.03.01.0032,40203010032,MATERIAIS PARA MANUTENÇÕES DIVERSAS
1901,4.01.02.02.0036,40102020036,MATERIAIS MANUTENÇÕES DIVERSAS
3476,4.02.03.01.0072,40203010072,ADEQUAÇÃO DO GÁS DO SALÃO DE FESTAS
2234,4.01.02.02.0017,40102020017,MANUTENÇÃO DO SISTEMA DE SEGURANÇA
2234,4.02.03.06.0110,40203060110,TROCA DO PISO DO PÁTIO E INSTALAÇÃO CAIXAS DE PASSAGEM TELEFONIA
2037,4.01.02.02.0036,40102020036,MATERIAIS MANUTENÇÕES DIVERSAS
2037,4.01.02.02.0010,40102020010,MATERIAIS ELÉTRICOS/LÂMPADAS
2019,4.01.01.01.0001,40101010001,ORDENADOS E SALÁRIOS REF. EMPREGADOS
2019,4.02.03.07.0003,40203070003,FÉRIAS
2019,4.02.03.07.0001,40203070001,13º SALÁRIOS
2019,4.01.01.01.0027,40101010027,CESTA DE NATAL PARA EMPREGADO(S)
2128,4.02.01.02.0022,40201020022,AQUISIÇÃO DE TAPETES PARA ÁREA COMUM
0664,4.01.02.01.0003,40102010003,GÁS
0664,4.02.03.01.0005,40203010005,AQUISIÇÃO DE GÁS PARA O SALÃO DE FESTAS
0778,4.01.02.02.0046,40102020046,MATERIAIS ALIMENTÍCIOS PARA EMPREGADOS
0778,4.02.01.02.0018,40201020018,GRATIFICAÇÃO DE FIM DE ANO PARA COLABORADORES/LIXEIROS
0778,4.01.02.02.0004,40102020004,MATERIAIS DE LIMPEZA E HIGIENE
1305,4.01.02.02.0036,40102020036,MATERIAIS MANUTENÇÕES DIVERSAS
1305,4.01.02.02.0127,40102020127,MANUTENÇÃO DA SAUNA
1713,4.01.01.01.0021,40101010021,EQUIPAMENTOS DE PROTEÇÃO INDIVIDUAL
1713,4.01.02.02.0011,40102020011,MATERIAIS HIDRÁULICOS
1713,4.01.02.02.0009,40102020009,MANUTENÇÃO HIDRÁULICA
1713,4.01.02.02.0036,40102020036,MATERIAIS MANUTENÇÕES DIVERSAS
1713,4.01.02.02.0010,40102020010,MATERIAIS ELÉTRICOS/LÂMPADAS
1713,4.02.03.06.0120,40203060120,REFORMA DO MURO DA ÁREA DE LAZER
